0.005,-0.0156847,2.76124E-008,0.119733
0.015,-0.0579235,8.80818E-008,0.107035
0.025,0.0340501,0.00000027,0.190796
0.035,0.0580371,7.94939E-007,0.106883
0.045,0.0403664,2.24906E-006,0.0757428
0.055,-0.0822568,6.11357E-006,0.0332243
0.065,-0.0951376,1.59668E-005,-0.0665203
0.075,0.0618699,4.00653E-005,-0.0721392
0.085,0.059038,9.65934E-005,-0.296778
0.095,0.0913572,0.000223746,-0.29724
0.105,0.00430876,0.000497955,-0.489136
0.115,-0.18223,0.00106477,-0.487181
0.125,-0.0148883,0.00218749,-0.418309
0.135,0.0698328,0.00431784,-0.336501
0.145,-0.0162332,0.0081887,-0.0653297
0.155,0.0273964,0.0149208,0.112583
0.165,-0.122354,0.0261214,0.340623
0.175,-0.195303,0.0439369,0.480677
0.185,0.0577284,0.0710054,0.613964
0.195,0.154373,0.110251,0.604715
0.205,0.215491,0.164474,0.620051
0.215,0.403216,0.235746,0.648086
0.225,0.438112,0.324652,0.619859
0.235,0.516971,0.429557,0.667238
0.245,0.728787,0.546074,0.657537
0.255,0.811973,0.666977,0.655256
0.265,0.874483,0.782705,0.626233
0.275,0.990068,0.882497,0.633431
0.285,1.02717,0.955997,0.633192
0.295,1.01439,0.995012,0.665917
0.305,0.925799,0.995012,0.756713
0.315,0.752222,0.955997,0.800009
0.325,0.620848,0.882497,0.788778
0.335,0.532818,0.782705,0.707194
0.345,0.521371,0.666977,0.606777
0.355,0.620385,0.546074,0.485255
0.365,0.594565,0.429557,0.397728
0.375,0.391431,0.324652,0.293545
0.385,0.231402,0.235746,0.24153
0.395,0.0646754,0.164474,0.206807
0.405,-0.12798,0.110251,0.151732
0.415,-0.0781206,0.0710054,0.154641
0.425,0.123082,0.0439369,0.0564314
0.435,0.160268,0.0261214,0.0137795
0.445,0.157954,0.0149208,-0.0487693
0.455,0.234231,0.0081887,-0.086209
0.465,0.158362,0.00431784,-0.0672147
0.475,-0.0154699,0.00218749,-0.133801
0.485,-0.015342,0.00106477,-0.0846888
0.495,0.0257482,0.000497955,-0.119502
0.505,-0.0963177,0.000223746,-0.180879
0.515,-0.195779,9.65934E-005,-0.122504
0.525,-0.196381,4.00653E-005,-0.178435
0.535,-0.243967,1.59668E-005,-0.105193
0.545,-0.31978,6.11357E-006,-0.0973723
0.555,-0.187351,2.24906E-006,0.0244471
0.565,0.021891,7.94939E-007,0.143474
0.575,0.259885,0.00000027,0.303841
0.585,0.416536,8.80818E-008,0.457345
0.595,0.681592,2.76124E-008,0.572911
0.605,0.719777,0,0.659848
0.615,0.836073,1,0.828337
0.625,0.701309,1,0.824575
0.635,0.79327,1,1.04705
0.645,0.631091,1,0.950783
0.655,0.832541,1,1.14376
0.665,0.781939,1,1.11746
0.675,0.96456,1,1.15491
0.685,1.00304,1,1.14313
0.695,1.20321,1,1.13581
0.705,1.30413,1,1.01169
0.715,1.19136,1,1.08103
0.725,1.2499,1,0.900387
0.735,1.15687,1,0.934349
0.745,1.13881,1,0.719053
0.755,0.881343,1,0.603683
0.765,0.676237,1,0.504848
0.775,0.729986,1,0.411636
0.785,0.48138,1,0.419698
0.795,0.452079,1,0.382886
0.805,0.138981,0,0.393986
0.815,0.264838,0,0.37213
0.825,0.18935,0,0.279464
0.835,0.141089,0,0.325289
0.845,-0.0273964,0,0.200357
0.855,0.0713096,0,0.209961
0.865,0.00325469,0,0.0779182
0.875,0.133281,0,0.0152902
0.885,-0.0554336,0,-0.0972857
0.895,-0.0437718,0,-0.0235177
0.905,0.0717254,0,-0.176049
0.915,-0.0667232,0,0.0521311
0.925,0.108654,0,-0.0336721
0.935,-0.060175,0,0.10232
0.945,-0.0213886,0,0.150715
0.955,0.0497117,0,0.0686316
0.965,-0.0783328,0,0.0902751
0.975,0.0650005,0,-0.0448538
0.985,0.0182918,0,0.0245726
0.995,-0.013613,0,-0.0514675
